"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","daily","daily_lower","daily_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1",2007-01-01,10.8244584892469,888.177108236501,888.177108236501,888.177108236501,265.960076679924,265.960076679924,265.960076679924,6.97971142929525,6.97971142929525,6.97971142929525,615.237320127282,615.237320127282,615.237320127282,0,0,0,868.941114948592,929.219407749068,10.8244584892469,10.8244584892469,899.001566725748
"2",2007-01-02,11.1060437175779,888.527896115949,888.527896115949,888.527896115949,265.960076679924,265.960076679924,265.960076679924,-11.1893623738176,-11.1893623738176,-11.1893623738176,633.757181809843,633.757181809843,633.757181809843,0,0,0,869.809119730374,931.123338708582,11.1060437175779,11.1060437175779,899.633939833527
"3",2007-01-03,11.3876289460595,891.363342344255,891.363342344255,891.363342344255,265.960076679924,265.960076679924,265.960076679924,-24.1063017254917,-24.1063017254917,-24.1063017254917,649.509567389823,649.509567389823,649.509567389823,0,0,0,871.879542629996,933.877648994374,11.3876289460595,11.3876289460595,902.750971290315
"4",2007-01-04,11.6692141712036,978.917993014928,978.917993014928,978.917993014928,265.960076679924,265.960076679924,265.960076679924,50.4890197597965,50.4890197597965,50.4890197597965,662.468896575207,662.468896575207,662.468896575207,0,0,0,957.83677902489,1022.264315916,11.6692141712036,11.6692141712036,990.587207186131
"5",2007-01-05,11.9507993960483,932.951067762679,932.951067762679,932.951067762679,265.960076679924,265.960076679924,265.960076679924,-5.65641456968323,-5.65641456968323,-5.65641456968323,672.647405652438,672.647405652438,672.647405652438,0,0,0,913.945815571095,975.077919138313,11.9507993960483,11.9507993960483,944.901867158727
"6",2007-01-06,12.2323846236464,924.233728474329,924.233728474329,924.233728474329,265.960076679924,265.960076679924,265.960076679924,-21.8297014908577,-21.8297014908577,-21.8297014908577,680.103353285263,680.103353285263,680.103353285263,0,0,0,906.912200218284,968.688158752387,12.2323846236464,12.2323846236464,936.466113097975
"7",2007-01-07,12.5139698464581,956.223549690364,956.223549690364,956.223549690364,265.960076679924,265.960076679924,265.960076679924,5.31304897074777,5.31304897074777,5.31304897074777,684.950424039693,684.950424039693,684.950424039693,0,0,0,937.746395962669,1001.48897790231,12.5139698464581,12.5139698464581,968.737519536822
"8",2007-01-08,12.7955550716601,960.306597197589,960.306597197589,960.306597197589,265.960076679924,265.960076679924,265.960076679924,6.97971142925137,6.97971142925137,6.97971142925137,687.366809088414,687.366809088414,687.366809088414,0,0,0,942.297265113195,1004.46974880698,12.7955550716601,12.7955550716601,973.102152269249
"9",2007-01-09,13.0771403006613,942.373080547597,942.373080547597,942.373080547597,265.960076679924,265.960076679924,265.960076679924,-11.1893623737695,-11.1893623737695,-11.1893623737695,687.602366241442,687.602366241442,687.602366241442,0,0,0,922.780970585445,985.989303109973,13.0771403006613,13.0771403006613,955.450220848258
"10",2007-01-10,13.3587255358321,927.836047526327,927.836047526327,927.836047526327,265.960076679924,265.960076679924,265.960076679924,-24.1063017255619,-24.1063017255619,-24.1063017255619,685.982272571965,685.982272571965,685.982272571965,0,0,0,909.823090942736,972.15298333376,13.3587255358321,13.3587255358321,941.194773062159
"11",2007-01-11,13.6403107743592,999.354780314394,999.354780314394,999.354780314394,265.960076679924,265.960076679924,265.960076679924,50.4890197597726,50.4890197597726,50.4890197597726,682.905683874698,682.905683874698,682.905683874698,0,0,0,981.968276765788,1044.33969683131,13.6403107743592,13.6403107743592,1012.99509108875
"12",2007-01-12,13.9218960166009,939.141766084808,939.141766084808,939.141766084808,265.960076679924,265.960076679924,265.960076679924,-5.65641456970644,-5.65641456970644,-5.65641456970644,678.83810397459,678.83810397459,678.83810397459,0,0,0,919.538997817995,984.130578196134,13.9218960166009,13.9218960166009,953.063662101409
