"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","daily","daily_lower","daily_upper","holidays","holidays_lower","holidays_upper","summer","summer_lower","summer_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1",2007-01-01,5.93461154764622,-0.999976097162636,-0.999976097162636,-0.999976097162636,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.368803978549664,-0.368803978549664,-0.368803978549664,1.2219915541523,1.2219915541523,1.2219915541523,0,0,0,3.63605627467151,6.19860555210745,5.93461154764622,5.93461154764622,4.93463545048359
"2",2007-01-02,5.93334690564501,-0.709115004513821,-0.709115004513821,-0.709115004513821,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.0694217924352524,-0.0694217924352524,-0.0694217924352524,1.2134704606867,1.2134704606867,1.2134704606867,0,0,0,3.89286193795684,6.55586142056066,5.93334690564501,5.93334690564501,5.22423190113119
"3",2007-01-03,5.93208226364379,-0.629895055369084,-0.629895055369084,-0.629895055369084,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,0.0205841448301878,0.0205841448301878,0.0205841448301878,1.202684472566,1.202684472566,1.202684472566,0,0,0,3.9196718272043,6.62008563207082,5.93208226364379,5.93208226364379,5.30218720827471
"4",2007-01-04,5.93081762164257,-1.07852709545199,-1.07852709545199,-1.07852709545199,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.415635751685866,-0.415635751685866,-0.415635751685866,1.19027232899915,1.19027232899915,1.19027232899915,0,0,0,3.5400727565488,6.25955971898424,5.93081762164257,5.93081762164257,4.85229052619059
"5",2007-01-05,5.92955297964136,-0.841584183651433,-0.841584183651433,-0.841584183651433,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.165374786098194,-0.165374786098194,-0.165374786098194,1.17695427521203,1.17695427521203,1.17695427521203,0,0,0,3.76279335336287,6.31693186245105,5.92955297964136,5.92955297964136,5.08796879598992
"6",2007-01-06,5.92828833764014,-0.236970389553836,-0.236970389553836,-0.236970389553836,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,0.452684983716882,0.452684983716882,0.452684983716882,1.16350829949455,1.16350829949455,1.16350829949455,0,0,0,4.43006391418018,7.07793174658458,5.92828833764014,5.92828833764014,5.6913179480863
"7",2007-01-07,5.92702369563892,-0.156452185868973,-0.156452185868973,-0.156452185868973,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,0.545967180220954,0.545967180220954,0.545967180220954,1.15074430667534,1.15074430667534,1.15074430667534,0,0,0,4.49317542094423,7.08840411999334,5.92702369563892,5.92702369563892,5.77057150976995
"8",2007-01-08,5.92575905363771,-1.08249066758784,-1.08249066758784,-1.08249066758784,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.368803978549855,-0.368803978549855,-0.368803978549855,1.13947698372728,1.13947698372728,1.13947698372728,0,0,0,3.47563993921567,6.11471759661001,5.92575905363771,5.92575905363771,4.84326838604987
"9",2007-01-09,5.92449441163649,-0.79208731317946,-0.79208731317946,-0.79208731317946,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.069421792435952,-0.069421792435952,-0.069421792435952,1.13049815202176,1.13049815202176,1.13049815202176,0,0,0,3.87873496943685,6.56721151719791,5.92449441163649,5.92449441163649,5.13240709845703
"10",2007-01-10,5.92322976963527,-0.708030110825597,-0.708030110825597,-0.708030110825597,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,0.0205841448306481,0.0205841448306481,0.0205841448306481,1.12454941710902,1.12454941710902,1.12454941710902,0,0,0,3.93301995462119,6.47619172563217,5.92322976963527,5.92322976963527,5.21519965880967
"11",2007-01-11,5.92196512763405,-1.14650350406061,-1.14650350406061,-1.14650350406061,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.415635751685565,-0.415635751685565,-0.415635751685565,1.12229592039022,1.12229592039022,1.12229592039022,0,0,0,3.45289800822759,6.12047344664131,5.92196512763405,5.92196512763405,4.77546162357344
"12",2007-01-12,5.92070048563284,-0.894236490965391,-0.894236490965391,-0.894236490965391,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.165374786097518,-0.165374786097518,-0.165374786097518,1.12430196789739,1.12430196789739,1.12430196789739,0,0,0,3.7288032190744,6.34504561811716,5.92070048563284,5.92070048563284,5.02646399466745
"13",2007-01-13,5.91943584363162,-0.269469428559206,-0.269469428559206,-0.269469428559206,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,0.452684983717181,0.452684983717181,0.452684983717181,1.13100926048888,1.13100926048888,1.13100926048888,0,0,0,4.20078886828176,7.01662572801943,5.91943584363162,5.91943584363162,5.64996641507241
"14",2007-01-14,5.9181712016304,-0.164478114000245,-0.164478114000245,-0.164478114000245,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,0.545967180220443,0.545967180220443,0.545967180220443,1.14271837854458,1.14271837854458,1.14271837854458,0,0,0,4.40881914467993,7.10845927561242,5.9181712016304,5.9181712016304,5.75369308763016
"15",2007-01-15,5.91690655962919,-1.06239356655066,-1.06239356655066,-1.06239356655066,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.368803978550046,-0.368803978550046,-0.368803978550046,1.15957408476465,1.15957408476465,1.15957408476465,0,0,0,3.4375549359296,6.23946432514503,5.91690655962919,5.91690655962919,4.85451299307852
"16",2007-01-16,5.91564191762797,-0.741030561757816,-0.741030561757816,-0.741030561757816,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.0694217924366517,-0.0694217924366517,-0.0694217924366517,1.1815549034441,1.1815549034441,1.1815549034441,0,0,0,3.8210557054618,6.44298471547565,5.91564191762797,5.91564191762797,5.17461135587015
"17",2007-01-17,5.91437727562675,-0.624112211337063,-0.624112211337063,-0.624112211337063,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,0.020584144830683,0.020584144830683,0.020584144830683,1.20846731659752,1.20846731659752,1.20846731659752,0,0,0,4.04221372939815,6.74205740213267,5.91437727562675,5.91437727562675,5.29026506428969
"18",2007-01-18,5.91311263362554,-1.02885463462388,-1.02885463462388,-1.02885463462388,-1.85316367276527,-1.85316367276527,-1.85316367276527,0,0,0,0,0,0,-0.415635751685198,-0.415635751685198,-0.415635751685198,1.23994478982658,1.23994478982658,1.23994478982658,0,0,0,3.52416045770978,6.16980130327426,5.91311263362554,5.91311263362554,4.88425799900165
